id,Compound,smiles,CAS_RN,logS,Ref_logS,mp,Ref_mp,logPN,Ref_logP,GSE,diff_logS
SolCbio3-80,2-Methylanthracene,Cc1ccc2cc3ccccc3cc2c1,613-12-7,-6.69,10.1016/S0045-6535(02)00118-2,205,10.1016/S0045-6535(02)00118-2,5,Kenneth,-6.3,0.39
SolCbio3-81,Benzo(a)fluorene,c1ccc2c(c1)Cc1c-2ccc2ccccc12,238-84-6,-6.68,10.1016/S0045-6535(02)00118-2,187,10.1016/S0045-6535(02)00118-2,5.4,Kenneth,-6.52,0.16
SolCbio3-82,"2,4,5-Trichlorodiphenyl ether",Clc1cc(Cl)c(Oc2ccccc2)cc1Cl,52322-80-2,-6.58,10.1016/S0045-6535(02)00118-2,61,10.1016/S0045-6535(02)00118-2,5.44,Kenneth,-5.3,1.28
SolCbio3-83,"2,2',4,5'-Tetrachlorobiphenyl",Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,41464-40-8,-6.57,10.1016/S0045-6535(02)00118-2,64,10.1016/S0045-6535(02)00118-2,6.22,Kenneth,-6.11,0.46
SolCbio3-84,"9,10-Dimethylanthracene",Cc1c2ccccc2c(C)c2ccccc12,781-43-1,-6.57,10.1016/S0045-6535(02)00118-2,183,10.1016/S0045-6535(02)00118-2,5.69,Kenneth,-6.77,0.2
SolCbio3-85,"4,4'-Dichlorobiphenyl",Clc1ccc(-c2ccc(Cl)cc2)cc1,2050-68-2,-6.56,10.1016/S0045-6535(02)00118-2,149,10.1016/S0045-6535(02)00118-2,5.23,Kenneth,-5.97,0.59
SolCbio3-86,Dichlorodiphenyldichloroethane,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,72-54-8,-6.55,10.1016/S0045-6535(02)00118-2,110,10.1016/S0045-6535(02)00118-2,6.02,Kenneth,-6.37,0.18
SolCbio3-87,Methoxychlor,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,72-43-5,-6.54,10.1016/S0045-6535(02)00118-2,78,10.1016/S0045-6535(02)00118-2,5.08,Kenneth,-5.11,1.43
SolCbio3-88,"2,2',4,4'-Tetrachlorobiphenyl",Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,2437-79-8,-6.51,10.1016/S0045-6535(02)00118-2,83,10.1016/S0045-6535(02)00118-2,6.29,Kenneth,-6.37,0.14
SolCbio3-89,"o,p'-Dichlorodiphenyldichloroethane",Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,53-19-0,-6.51,10.1016/S0045-6535(02)00118-2,76,10.1016/S0045-6535(02)00118-2,6,Kenneth,-6.01,0.5
SolCbio3-90,"2,2',3,5'-Tetrachlorobiphenyl",Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,41464-39-5,-6.47,10.1016/S0045-6535(02)00118-2,47,10.1016/S0045-6535(02)00118-2,5.81,Kenneth,-5.53,0.94
SolCbio3-91,Decane,CCCCCCCCCC,124-18-5,-6.44,10.1016/S0045-6535(02)00118-2,-30,10.1016/S0045-6535(02)00118-2,5.01,Kenneth,-3.96,2.48
SolCbio3-92,Anthracene,c1ccc2cc3ccccc3cc2c1,120-12-7,-6.35,10.1016/S0045-6535(02)00118-2,216,10.1016/S0045-6535(02)00118-2,4.45,Kenneth,-5.86,0.49
SolCbio3-93,Heptachlor,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,76-44-8,-6.32,10.1016/S0045-6535(02)00118-2,95,10.1016/S0045-6535(02)00118-2,6.1,Kenneth,-6.3,0.02
SolCbio3-94,Permethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,52645-53-1,-6.29,10.1016/S0045-6535(02)00118-2,36,10.1016/S0045-6535(02)00118-2,6.5,Kenneth,-6.11,0.18
SolCbio3-95,"2',3,4-Trichlorobiphenyl",Clc1ccc(-c2ccccc2Cl)cc1Cl,38444-86-9,-6.29,10.1016/S0045-6535(02)00118-2,60,10.1016/S0045-6535(02)00118-2,5.87,Kenneth,-5.72,0.57
SolCbio3-96,"2,3,6-Trichlorobiphenyl",Clc1ccc(Cl)c(-c2ccccc2)c1Cl,55702-45-9,-6.29,10.1016/S0045-6535(02)00118-2,56,10.1016/S0045-6535(02)00118-2,5.67,Kenneth,-5.48,0.81
SolCbio3-97,Dieldrin,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,60-57-1,-6.29,10.1016/S0045-6535(02)00118-2,175,10.1016/S0045-6535(02)00118-2,5.2,PubChem,-6.2,0.09
SolCbio3-98,"2,4,5-Trichlorobiphenyl",Clc1cc(Cl)c(-c2ccccc2)cc1Cl,15862-07-4,-6.27,10.1016/S0045-6535(02)00118-2,76,10.1016/S0045-6535(02)00118-2,5.81,Kenneth,-5.82,0.45
